Station (alphabetical by borough),2010,2011,2012,2013,2014,2015,2014-2015 Change,,2015 Rank
1 Av ,21157,22039,22436,23467,24286,23789,-497,-2.0%,60
103 St ,12968,13292,13557,13500,13318,13309,-9,-0.1%,117
103 St ,15210,15673,15721,16189,16641,13057,-3584,-21.5%,123
103 St  ,4782,4562,4659,4760,4832,4800,-32,-0.7%,311
110 St ,11630,11836,11908,12162,12452,13409,+957,+7.7%,116
116 St   ,10227,10627,11100,11508,11787,12196,+409,+3.5%,129
116 St ,15655,16206,16514,16675,16674,16702,+28,+0.2%,87
116 St  ,5945,6153,6328,6594,7005,7215,+210,+3.0%,220
116 St-Columbia University ,15808,16130,16283,16363,16460,16132,-328,-2.0%,89
125 St ,7243,7468,7857,7995,8077,7991,-86,-1.1%,197
125 St   ,13878,14101,14471,15351,15744,15986,+242,+1.5%,91
125 St   ,27990,28341,28913,29425,30168,30277,+109,+0.4%,34
125 St    ,24584,25084,26276,27395,28428,29062,+634,+2.2%,37
135 St   ,13031,13641,14120,14690,15335,15598,+263,+1.7%,97
135 St  ,4878,5145,5409,5592,5620,5575,-45,-0.8%,279
137 St-City College ,14158,14528,14854,14947,14768,14798,+30,+0.2%,104
14 St /8 Av  ,36777,38802,40990,42718,43953,45253,+1300,+3.0%,18
14 St/6 Av  ,47204,47831,49237,49316,49990,50335,+345,+0.7%,17
14 St-Union Sq       ,106380,107352,108000,108158,109472,108440,-1032,-0.9%,4
145 St ,9417,9510,9952,9931,10099,10112,+13,+0.1%,158
145 St ,2873,3136,3273,3426,3631,3664,+33,+0.9%,348
145 St    ,20730,21576,22125,22879,23805,24307,+502,+2.1%,57
155 St  ,3823,3845,3947,3948,4022,4038,+16,+0.4%,334
155 St ,2279,2455,2490,2529,2586,2596,+10,+0.4%,385
157 St ,9899,9972,10331,10677,10822,10918,+96,+0.9%,148
163 St-Amsterdam Av ,3663,3772,3849,4080,4271,4340,+69,+1.6%,323
168 St   ,23572,24019,24580,25041,25659,25845,+186,+0.7%,49
175 St ,12078,12737,12914,13309,13460,13224,-236,-1.8%,121
18 St ,7968,8199,8437,8505,8638,8800,+162,+1.9%,184
