Station (alphabetical by borough),2010,2011,2012,2013,2014,2015,2014-2015 Change,,2015 Rank
1 Av￼ ,"21,157","22,039","22,436","23,467","24,286","23,789",-497,-2.0%,60
103 St ￼,"12,968","13,292","13,557","13,500","13,318","13,309",-9,-0.1%,117
103 St ,"15,210","15,673","15,721","16,189","16,641","13,057","-3,584",-21.5%,123
103 St ￼ ￼,"4,782","4,562","4,659","4,760","4,832","4,800",-32,-0.7%,311
110 St ￼,"11,630","11,836","11,908","12,162","12,452","13,409",+957,+7.7%,116
116 St ￼ ￼ ,"10,227","10,627","11,100","11,508","11,787","12,196",+409,+3.5%,129
116 St ￼,"15,655","16,206","16,514","16,675","16,674","16,702",+28,+0.2%,87
116 St ￼ ￼,"5,945","6,153","6,328","6,594","7,005","7,215",+210,+3.0%,220
116 St-Columbia University ￼,"15,808","16,130","16,283","16,363","16,460","16,132",-328,-2.0%,89
125 St ￼,"7,243","7,468","7,857","7,995","8,077","7,991",-86,-1.1%,197
125 St ￼ ￼ ,"13,878","14,101","14,471","15,351","15,744","15,986",+242,+1.5%,91
125 St ￼ ￼ ￼,"27,990","28,341","28,913","29,425","30,168","30,277",+109,+0.4%,34
125 St ￼ ￼ ￼ ￼,"24,584","25,084","26,276","27,395","28,428","29,062",+634,+2.2%,37
135 St ￼ ￼ ,"13,031","13,641","14,120","14,690","15,335","15,598",+263,+1.7%,97
135 St ￼ ￼,"4,878","5,145","5,409","5,592","5,620","5,575",-45,-0.8%,279
137 St-City College ￼,"14,158","14,528","14,854","14,947","14,768","14,798",+30,+0.2%,104
14 St ￼ ￼ ￼/8 Av ￼ ,"36,777","38,802","40,990","42,718","43,953","45,253","+1,300",+3.0%,18
14 St ￼ ￼ ￼ ￼ ￼/6 Av ￼ ,"47,204","47,831","49,237","49,316","49,990","50,335",+345,+0.7%,17
14 St-Union Sq ￼ ￼ ￼ ￼ ￼ ￼ ￼,"106,380","107,352","108,000","108,158","109,472","108,440","-1,032",-0.9%,4
145 St ￼,"9,417","9,510","9,952","9,931","10,099","10,112",+13,+0.1%,158
145 St ￼,"2,873","3,136","3,273","3,426","3,631","3,664",+33,+0.9%,348
